file_path,input_deepth,vul_deepth
..\gpickle\bnn-fpga_4.gpickle,9,6
..\gpickle\bnn-fpga_5.gpickle,65,12
..\gpickle\bone-lisp_0.gpickle,11,17
..\gpickle\boot-extract_0.gpickle,18,2
..\gpickle\boot9strap_0.gpickle,1,1
..\gpickle\boot9strap_1.gpickle,31,47
..\gpickle\boot9strap_2.gpickle,0,0
..\gpickle\bootchart_0.gpickle,57,8
..\gpickle\BootCtr_0.gpickle,9,10
..\gpickle\Bootrom-Dumper_0.gpickle,3,2
..\gpickle\bootstrap-scheme_0.gpickle,21,9
..\gpickle\bos_0.gpickle,4,4
..\gpickle\bos_1.gpickle,4,3
..\gpickle\bottledwater-pg_0.gpickle,8,9
..\gpickle\bottledwater-pg_1.gpickle,8,9
..\gpickle\bottleneck_0.gpickle,19,10
..\gpickle\boxcutter_0.gpickle,15,3
..\gpickle\boxcutter_1.gpickle,15,6
..\gpickle\boxfs2_0.gpickle,23,11
..\gpickle\boyer-moore-string-search_0.gpickle,2,4
..\gpickle\bpfd_0.gpickle,15,14
..\gpickle\bpfd_1.gpickle,53,14
..\gpickle\BPI-WiringPi_0.gpickle,25,9
..\gpickle\BPI-WiringPi_1.gpickle,0,0
..\gpickle\BPI-WiringPi_10.gpickle,25,7
..\gpickle\BPI-WiringPi_11.gpickle,48,12
..\gpickle\BPI-WiringPi_12.gpickle,25,11
..\gpickle\BPI-WiringPi_13.gpickle,18,14
..\gpickle\BPI-WiringPi_14.gpickle,18,4
..\gpickle\BPI-WiringPi_15.gpickle,18,4
..\gpickle\BPI-WiringPi_16.gpickle,19,9
..\gpickle\BPI-WiringPi_17.gpickle,18,4
..\gpickle\BPI-WiringPi_18.gpickle,25,11
..\gpickle\BPI-WiringPi_19.gpickle,25,7
..\gpickle\BPI-WiringPi_2.gpickle,18,7
..\gpickle\BPI-WiringPi_20.gpickle,25,9
..\gpickle\BPI-WiringPi_21.gpickle,25,10
..\gpickle\BPI-WiringPi_22.gpickle,12,9
..\gpickle\BPI-WiringPi_23.gpickle,25,10
..\gpickle\BPI-WiringPi_24.gpickle,0,0
..\gpickle\BPI-WiringPi_25.gpickle,25,6
..\gpickle\BPI-WiringPi_26.gpickle,25,13
..\gpickle\BPI-WiringPi_27.gpickle,25,10
..\gpickle\BPI-WiringPi_28.gpickle,25,14
..\gpickle\BPI-WiringPi_29.gpickle,25,11
